243993	226496	252690	250106	210687	273292	251822	233825	242097	242934	234112	247448	206941	240312	255085	226375	214453	248955	235816	226689	251802	268212	226945	271141	249321	263349	251711	264694	237483	228380	240021	248966	255876	240536	254577	245203	200426	241741	265791	254183	236507	249631	234288	267447	237958	223503	246299	251393	254648	256571	274513	246187	260290	247837	248056	227852	257432	255113	239145	241800	252861	233987	244845	238048	241369	241666	261939	224133	231204	273694	219132	256852	248166	238619	250550	223544	
205288	205665	219627	231869	184989	262629	242814	234878	212228	231197	232553	214430	198244	211044	240032	205386	214650	230081	215355	201429	233920	250041	213067	238717	243568	248711	227958	236242	220127	213415	220853	234733	212957	217488	214216	223208	175682	228550	220901	236049	204071	233936	209781	239430	227996	207540	223338	226421	200236	249035	248223	227737	230387	231365	216686	193446	219366	230943	223911	224999	221977	208632	224541	221775	238671	204264	259020	221044	192583	231946	212636	237857	212268	222995	227599	192051	
220220	221533	235586	244335	202286	259678	241268	214191	239887	230202	221821	206303	212449	205638	234059	206595	216871	231920	211759	199508	255206	242715	207067	248859	223362	235920	225017	227070	208018	231439	236478	239374	231884	226848	226118	221800	183717	221867	238075	238858	223662	232394	221863	238970	229478	213819	230913	237117	234084	251499	247524	224263	248499	244707	218763	222214	217574	226167	229105	222163	225848	197962	227066	236845	215861	223783	231634	228477	210531	234701	210221	248461	239409	220715	252514	207846	
264287	249481	270609	279250	226896	277066	280696	257401	271171	257653	253232	239107	249628	257819	284178	244465	232659	247118	242643	229230	258153	284940	232621	292209	266139	264672	248038	280769	243158	261144	252542	282229	260588	247556	262523	264114	219725	261602	266143	277317	257359	259601	251479	278165	275773	252690	250023	276409	262876	291365	260110	275263	289394	275002	256009	251154	259462	280419	259996	269810	267728	242512	264394	265929	248167	247620	277601	272153	244903	297001	243104	283034	266189	264124	265030	242679	
231820	232216	245755	272316	220366	265749	258782	268109	248657	239126	236123	244441	249703	236556	273235	226166	240945	238368	227954	218511	255822	285152	225880	264453	260352	254532	245443	260523	234251	248374	245763	257593	236123	230830	239547	239140	192804	252547	263780	272746	235988	233824	240087	264159	255562	229990	243043	255089	221531	278272	257239	251384	264375	259226	256378	225594	239853	255063	276687	235798	248947	231889	251881	237260	240376	237881	260033	247241	230679	254969	235818	265109	253501	252380	249853	219012	
242276	230048	244768	275489	229966	287686	280595	260269	250269	247388	243514	234797	218708	249556	279359	226624	231797	246753	252282	239742	261869	288558	220918	298442	269490	264719	253229	263558	239322	245493	254030	262077	258396	249063	252942	262611	208264	256186	277589	281792	263610	252593	239869	261084	253479	247058	247280	266537	274483	273591	266803	258552	277991	257891	255688	246693	260610	275785	255413	257696	260961	244467	252829	248221	245259	245344	275168	242338	234749	256975	237615	276011	255689	251742	271943	224633	
249583	235640	247187	276177	207987	273073	282676	251692	235906	267004	238532	232852	244083	244808	267404	218373	227715	256998	232107	219285	263560	272173	235081	278821	260909	265046	248063	253254	237886	235675	256351	260589	252659	242560	252152	238263	209392	253375	255894	265741	245619	254474	230280	264632	256352	234652	239533	254926	254125	268393	272311	252593	275750	270066	256943	219909	231609	264889	269550	255266	241281	241469	242889	247652	241996	239452	268934	243613	240576	276693	226375	265513	252422	241475	261057	232003	
258947	229669	250444	274949	212865	283857	264567	248502	252222	248851	257861	250563	229352	248894	280971	241450	208120	248078	240539	234530	256498	286654	235279	267387	240317	259843	251679	266594	241707	255074	242100	260732	256330	225237	242678	240156	199895	248813	268986	259361	230777	253067	249192	271689	256048	244747	241292	262266	253704	274615	278804	249833	269579	262763	248306	233704	253177	259317	253065	241970	236129	222044	243585	251722	247424	245821	274393	252117	230482	261524	244401	277404	247561	246504	261662	215824	
251090	218437	246570	265832	224338	274081	250608	244636	241545	238325	231194	243459	216083	228062	253492	239277	226287	240306	243843	229426	249470	261238	226300	276376	246329	260582	228270	249071	218792	244144	244298	248497	250998	235742	234246	244367	193990	247457	254726	260938	221732	253205	235098	261543	233883	221654	240000	254425	233308	263474	266259	259848	269072	255609	234393	232615	245094	247564	252072	232032	244958	227000	239231	260789	240805	223247	270921	247724	228404	252759	238008	285084	245415	222877	259599	222848	
242830	228888	247715	271531	208085	265680	259303	245983	243811	261294	246983	251820	229323	238020	263308	229612	230130	260019	237636	227840	257921	258580	243515	276817	251469	262881	248259	272395	224820	256692	251545	257811	253465	229903	255518	240268	215914	245388	272659	258465	242343	258746	260168	259667	254914	226777	251652	255719	242366	259957	271243	253395	284714	259110	258380	232898	252031	259300	250413	250528	260248	218702	249578	245096	257555	241676	251798	249040	239127	261274	233458	276301	256928	262502	263984	233421	
