row=73 col=96
5	37	54	46	89	100	24	96	89	78	42	75	26	15	32	12	53	36	69	56	30	75	26	56	71	0	61	95	47	90	68	25	47	64	50	98	32	50	5	81	63	24	49	20	6	58	54	65	12	58	30	99	96	2	70	47	45	18	78	3	86	59	98	36	22	4	2	96	90	91	34	53	16	74	41	95	37	24	36	59	4	76	5	96	43	100	56	7	63	91	82	29	6	14	77	43	
5	30	92	68	16	96	83	94	20	25	14	7	1	69	34	98	50	0	41	65	74	37	55	98	3	22	14	38	3	21	68	19	75	57	19	66	65	1	49	45	47	71	59	84	56	64	4	44	4	100	17	89	12	95	44	38	23	43	63	41	62	31	8	32	30	67	34	91	100	51	9	59	65	21	96	36	79	14	49	39	79	45	16	90	76	36	28	12	86	3	61	13	67	22	14	37	
74	39	44	77	48	5	7	53	69	95	3	100	81	56	17	18	25	91	30	11	39	80	55	16	37	39	97	19	6	90	5	96	18	60	25	8	60	43	45	79	50	25	33	2	56	43	97	12	78	28	84	65	81	58	32	24	57	4	81	50	59	65	84	30	10	59	47	21	41	10	0	79	18	38	22	12	37	47	65	79	7	98	57	67	58	85	18	82	15	84	83	61	27	77	15	73	
56	89	53	76	36	74	15	10	76	66	30	41	60	82	77	86	31	94	88	34	30	77	0	18	89	73	33	27	86	58	56	68	40	33	96	40	92	75	45	41	98	7	67	77	33	62	46	91	0	4	72	64	56	57	56	86	89	90	3	17	49	42	82	88	32	47	45	17	23	58	94	55	70	39	96	53	33	56	96	27	60	36	50	28	60	91	58	32	21	75	49	40	17	84	39	49	
5	73	32	74	21	8	37	99	27	5	94	35	78	87	43	54	29	83	67	56	80	33	15	32	87	17	34	29	72	3	92	89	65	95	41	21	99	89	84	91	69	87	89	62	26	34	60	14	22	34	70	84	48	23	59	43	80	41	6	46	47	50	31	17	45	41	43	6	60	87	57	6	64	49	63	28	88	17	37	66	95	20	77	56	57	5	27	98	39	56	24	74	56	46	37	39	
90	1	11	24	77	58	34	65	47	27	81	92	23	17	32	37	41	26	25	95	4	5	54	36	75	61	81	37	94	72	91	46	26	45	16	57	87	53	53	98	95	1	24	66	46	71	48	56	32	82	77	82	85	30	44	88	18	18	82	29	54	68	82	80	79	66	77	52	25	67	80	13	16	23	69	30	62	5	22	78	61	87	88	46	83	98	65	58	49	69	4	33	57	32	26	85	
9	17	75	46	100	92	29	63	85	81	72	27	51	81	6	57	83	35	94	16	71	99	61	19	27	36	66	32	48	40	40	81	62	48	59	20	63	86	28	83	91	45	100	95	45	24	96	1	1	4	72	4	51	26	30	95	18	78	7	19	35	65	27	77	32	59	88	58	83	15	18	2	30	84	40	67	50	51	33	2	91	36	95	67	24	42	48	56	84	88	71	8	51	72	35	83	
9	11	78	90	24	92	30	72	70	82	64	21	22	92	10	75	48	72	41	80	46	42	73	11	8	31	9	83	81	82	52	63	10	50	60	42	35	74	43	11	82	83	81	50	15	15	96	93	73	83	63	96	11	44	26	65	96	49	86	20	70	2	93	28	58	37	34	77	50	59	41	89	54	51	53	4	24	77	57	73	20	84	32	27	83	0	46	86	63	36	5	8	88	50	69	10	
12	15	51	86	15	97	17	86	37	51	41	89	77	11	9	77	74	77	46	18	8	65	89	68	31	79	0	82	68	90	51	57	28	88	24	77	81	20	98	49	6	2	55	35	90	3	31	95	55	5	64	79	97	83	67	47	88	75	13	82	7	3	72	38	74	6	35	28	79	47	2	44	12	46	38	60	20	9	78	42	29	78	67	98	47	55	53	34	76	64	70	28	2	52	96	58	
46	50	82	62	58	80	40	77	67	63	46	84	54	98	43	54	59	72	13	93	62	42	25	56	5	45	47	32	44	42	74	29	23	84	94	77	98	93	44	1	46	64	63	21	80	46	37	0	63	8	7	54	97	11	53	25	78	13	62	71	54	76	41	93	67	65	87	14	48	8	14	34	40	82	10	83	98	90	29	22	27	37	12	30	100	80	89	100	1	4	89	7	8	44	92	35	
67	87	80	50	79	54	55	41	72	70	7	3	69	66	71	83	3	98	0	20	97	58	84	11	86	27	38	30	22	48	58	52	54	47	22	86	78	63	27	14	10	15	73	22	89	6	11	60	23	24	20	45	66	96	16	9	27	64	69	81	66	93	94	87	50	6	35	77	5	52	40	67	10	70	33	97	89	62	9	76	43	21	69	86	71	8	45	54	63	20	69	86	92	79	10	80	
85	72	29	38	70	2	87	86	73	37	63	53	11	7	78	81	38	74	80	52	31	42	6	61	65	10	75	19	54	37	46	79	1	3	22	59	93	0	58	25	94	89	86	9	26	94	56	56	89	73	22	15	29	67	92	23	14	60	27	74	14	27	34	40	11	71	36	46	53	80	100	60	32	37	58	24	15	19	80	45	47	20	62	23	60	25	52	72	87	63	32	29	5	16	17	54	
20	60	43	43	62	90	37	89	74	52	100	34	7	27	13	59	58	58	82	30	74	69	82	34	72	53	84	41	61	96	0	70	32	77	60	87	82	25	2	77	79	43	63	27	13	100	13	99	31	85	42	22	80	55	35	73	41	39	59	80	9	61	79	79	3	100	66	19	74	78	11	32	88	78	71	32	31	41	92	90	12	51	96	43	30	73	88	7	20	54	1	89	32	54	4	74	
2	54	14	57	9	41	30	69	20	54	51	74	37	84	8	76	11	78	23	68	45	2	2	57	63	30	14	71	27	63	56	98	23	41	63	96	65	2	24	74	100	90	35	31	85	6	85	92	40	91	6	32	76	53	90	51	4	91	16	51	54	60	2	85	65	92	67	22	21	14	36	97	12	78	57	69	22	24	97	60	24	36	67	52	57	2	59	61	91	51	3	32	37	69	41	19	
5	33	44	55	13	76	27	12	16	44	22	46	42	28	37	72	64	3	42	77	52	20	42	66	28	100	81	87	99	68	55	24	2	17	98	75	72	22	93	85	30	62	1	84	81	0	4	99	21	37	20	47	19	50	36	31	89	33	72	96	75	98	18	39	6	34	50	57	43	88	78	60	67	61	49	2	68	1	36	11	58	83	72	42	60	99	58	51	40	52	52	16	0	28	61	87	
85	12	31	4	12	13	55	29	26	99	22	1	86	63	99	38	85	41	2	94	17	90	95	6	18	46	70	89	35	30	67	77	25	50	39	32	45	99	74	57	94	55	36	24	92	72	8	24	7	79	41	34	46	82	85	85	87	83	83	49	100	64	61	24	27	40	53	1	86	35	35	49	25	87	48	33	22	84	23	41	8	47	43	89	38	49	33	99	100	98	12	22	9	96	85	42	
33	0	78	98	5	91	6	64	64	67	81	60	73	98	95	39	66	66	73	64	50	14	99	75	18	38	35	79	89	99	49	30	69	19	25	80	48	76	28	94	96	16	75	86	17	99	36	34	75	19	65	55	88	61	77	84	73	47	1	10	26	76	9	36	49	92	18	52	14	88	50	88	38	21	49	41	46	56	34	4	22	54	62	24	51	25	40	56	78	33	74	58	24	6	28	84	
13	98	98	1	8	60	99	18	49	48	66	39	26	13	80	83	82	97	34	49	21	91	48	93	95	2	17	63	97	38	31	65	67	100	94	51	98	79	27	6	76	68	100	25	50	55	70	28	28	87	26	60	81	35	84	44	49	46	82	47	42	20	23	71	8	28	14	6	23	47	84	94	2	76	14	99	29	24	9	9	85	24	91	69	17	33	34	59	0	3	31	19	16	95	36	27	
13	6	74	17	23	88	61	91	43	9	79	35	23	66	84	52	81	73	100	87	74	80	41	55	68	0	3	31	43	90	56	0	56	98	31	70	32	2	66	72	8	5	22	10	65	58	51	84	26	71	0	4	15	55	42	24	89	1	98	52	32	54	9	77	67	22	9	48	35	10	41	62	78	68	50	97	69	62	98	53	48	97	15	75	64	43	59	81	91	53	39	77	45	33	6	41	
75	66	23	43	72	41	27	8	29	0	96	10	74	45	99	71	54	85	14	98	1	46	73	18	79	63	87	5	23	30	55	79	42	47	28	68	35	78	73	65	38	42	88	48	22	99	82	54	83	79	50	38	8	65	78	80	19	12	63	2	86	78	70	93	77	93	35	7	37	47	50	100	31	45	45	50	80	18	27	81	83	69	81	0	59	0	74	56	5	4	90	9	30	66	56	97	
88	36	35	43	86	90	22	59	33	15	40	23	38	58	24	61	77	39	44	3	6	38	26	96	68	2	89	36	49	28	28	92	30	100	85	97	51	94	35	10	69	70	22	71	30	37	38	10	52	71	44	17	5	37	17	91	45	65	72	86	5	72	20	3	67	84	66	36	48	82	81	62	5	44	49	93	42	48	25	56	79	23	72	87	36	74	52	21	21	19	75	99	19	97	48	69	
28	97	18	85	25	78	90	87	91	39	25	26	56	42	36	86	90	100	31	27	11	75	82	100	27	18	1	85	73	100	52	23	67	44	80	73	62	3	14	89	20	53	79	50	44	29	57	98	85	42	26	26	44	21	53	31	17	81	50	23	55	76	41	10	47	59	72	73	1	96	60	74	69	76	66	90	49	7	50	65	63	80	81	96	9	85	99	62	56	76	18	4	1	23	41	67	
26	77	20	3	0	17	15	81	2	78	3	83	53	38	32	41	29	77	4	62	12	57	75	71	22	53	68	24	37	98	65	87	27	100	10	58	60	22	49	7	84	80	79	23	53	70	12	37	55	72	13	20	7	86	44	56	87	67	29	57	37	68	60	75	88	11	88	59	32	29	36	50	61	93	51	52	38	3	95	90	82	16	34	15	24	32	38	3	96	75	70	45	32	35	96	64	
43	57	56	17	33	97	16	9	5	58	43	47	33	33	95	48	15	8	100	90	30	44	57	83	97	26	32	95	60	70	62	55	48	52	14	65	88	86	97	31	96	100	63	44	10	82	80	93	69	39	34	13	53	67	59	76	91	95	47	51	16	34	22	12	45	52	62	76	78	28	43	79	11	80	21	22	37	73	75	21	100	96	99	31	92	71	99	10	4	15	62	100	94	4	86	50	
66	79	30	60	41	90	12	89	43	47	74	74	71	8	41	100	25	52	29	3	14	28	24	42	30	10	8	27	53	22	31	26	33	39	4	62	20	50	14	81	46	32	7	8	83	25	72	83	20	30	35	69	97	59	5	58	83	87	18	14	26	77	39	58	48	82	66	13	32	55	40	43	6	56	33	4	2	45	25	34	1	55	71	12	32	8	66	1	99	9	77	62	51	95	30	59	
7	31	5	6	98	62	34	7	23	42	3	77	82	93	26	56	24	12	57	35	20	27	82	61	88	69	89	82	19	6	88	15	91	87	22	24	3	15	19	25	11	63	82	61	55	49	71	25	100	85	17	53	41	28	5	62	10	46	67	13	57	41	10	33	6	28	2	0	34	24	16	37	63	96	96	82	35	74	64	89	13	83	7	64	63	41	71	35	28	23	61	84	93	31	30	8	
54	78	14	25	5	84	100	12	31	71	69	28	87	69	41	60	39	28	60	28	7	49	63	7	42	10	20	73	56	42	84	87	27	68	23	77	81	78	33	33	81	53	82	33	94	90	94	77	85	12	23	57	26	56	6	91	40	33	63	42	94	1	11	74	51	55	57	89	49	58	51	80	10	45	73	1	94	93	45	97	21	22	23	32	79	49	40	67	68	86	48	91	66	6	68	40	
